hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(3,)",tanh,0.001,200,0.00880910485407047,"[[[np.float64(0.2521948369071041), np.float64(-0.5353569267755806), np.float64(0.6228723564671537)], [np.float64(-0.09409171759825789), np.float64(0.177868022242299), np.float64(0.4343539103809719)], [np.float64(0.012442566509438695), np.float64(-0.8019943697886572), np.float64(0.2522966794631629)], [np.float64(0.7710137234291468), np.float64(0.2127546713822487), np.float64(0.5075403535853494)]]]","[[0.7283745408719547, 0.5410364565673921, np.float64(0.3871747652667531)]]","[np.float64(0.27672159226343057), np.float64(0.9303381518922254), np.float64(0.8288139944808667)]",0.14678115024090488
1,"(4,)",relu,0.0001,100,0.03536087394901008,"[[[np.float64(-0.6462197484463252), np.float64(-0.4664714026234528), np.float64(-0.343631555960362), np.float64(0.18355093216124416)], [np.float64(-0.17328016913308492), np.float64(0.14379100679496676), np.float64(0.014106212460780018), np.float64(-0.3338395265004861)], [np.float64(0.0437742183630534), np.float64(0.16208261707634133), np.float64(0.006556868042588876), np.float64(-0.2004701602127897)], [np.float64(-0.3314585133669766), np.float64(0.3302365501803654), np.float64(0.5239345120400541), np.float64(0.3874630152102877)]]]","[[0.8971126709266627, 0.9729658598608831, 0.07872498026506547, np.float64(-0.7274413870679272)]]","[np.float64(0.5834802740677982), np.float64(0.3911676379701213), np.float64(0.6148634550136013), np.float64(0.3896329597605455)]",0.20471561275345362
1,"(4,)",relu,0.0001,200,0.05425895344092967,"[[[np.float64(-0.7377326587120339), np.float64(-0.6315061355956254), np.float64(-1.2066753944341932), np.float64(-1.2865363039618436)], [np.float64(0.15670076276500208), np.float64(-1.1275037810785198), np.float64(-1.0479689024516166), np.float64(-0.808403315820303)], [np.float64(-0.3721973070825813), np.float64(-1.1390820323808002), np.float64(-0.7014975178999161), np.float64(-1.4978648771851053)], [np.float64(-0.2993990525616065), np.float64(-0.6420193932519529), np.float64(-0.5606175483974807), np.float64(-0.1027589660522527)]]]","[[0.5058677538453987, 0.4733572273084279, 0.12328843432784142, np.float64(-2.3212521786035127)]]","[np.float64(0.5522306089350559), np.float64(0.9742639265112293), np.float64(0.8813547878809631), np.float64(0.9885102272130033)]",0.5000244663120469
1,"(4,)",relu,0.001,100,0.06084463205091528,"[[[np.float64(-6.827811490029158), np.float64(-2.3003163333637935), np.float64(-9.45497820952117), np.float64(-8.32004834125527)], [np.float64(-6.557963271919782), np.float64(-2.1766413191385268), np.float64(-8.355267987564817), np.float64(-7.945674548023739)], [np.float64(-6.8611775814719), np.float64(-2.60718537256974), np.float64(-9.685638485012536), np.float64(-9.00478899071435)], [np.float64(-3.3644770681011007), np.float64(-0.9004461084732736), np.float64(-4.521236295259384), np.float64(-3.326942828493643)]]]","[[0.8258606613531588, 0.9822173846041639, 0.009112712054765493, np.float64(-13.047125557689625)]]","[np.float64(0.614434776434229), np.float64(0.20734908209157626), np.float64(0.8072101193540948), np.float64(0.736268589327599)]",0.4823162099806747
1,"(4,)",relu,0.001,200,0.05409905119150147,"[[[np.float64(-19.308897599708434), np.float64(-15.8574730393146), np.float64(-11.467166238240669), np.float64(-12.23155288007928)], [np.float64(-17.406047557059495), np.float64(-15.732412751890227), np.float64(-10.05152114550916), np.float64(-11.66741466487928)], [np.float64(-20.093182415062877), np.float64(-16.916815262076394), np.float64(-11.796606010338964), np.float64(-12.750887186422737)], [np.float64(-8.708068302747241), np.float64(-7.54656875220737), np.float64(-4.6685430158732855), np.float64(-5.111755540978556)]]]","[[0.9189457777678138, 0.8854426903370543, 0.9732959025538539, np.float64(-19.086234293562697)]]","[np.float64(0.9532840456263191), np.float64(0.820556704565284), np.float64(0.5599027697127202), np.float64(0.6119631353573644)]",0.9091968965381492
1,"(4,)",sigmoid,0.0001,100,0.05249330807683951,"[[[np.float64(0.8184075942424427), np.float64(0.014539039408384441), np.float64(0.1914122259542879), np.float64(0.4430649801813566)], [np.float64(0.24224559005488028), np.float64(0.5950458166808933), np.float64(0.47054768100275196), np.float64(0.013921418626027316)], [np.float64(0.8032107254727873), np.float64(0.45493409219282865), np.float64(0.07926186045961525), np.float64(-0.15319255149517624)], [np.float64(0.25889146307092664), np.float64(0.0010145945604548758), np.float64(0.5132445595092844), np.float64(0.1802914691473642)]]]","[[0.40173873042419084, 0.7617631036544712, 0.44936211413661376, np.float64(-0.33078003307565984)]]","[np.float64(0.2179634291622444), np.float64(0.20395933959806076), np.float64(0.7952086816662527), np.float64(0.9478700090211741)]",0.9343826086142727
1,"(4,)",sigmoid,0.0001,200,0.029719795393408754,"[[[np.float64(0.49957329323091726), np.float64(0.4351154433317575), np.float64(0.4566409864303003), np.float64(0.6262766875398486)], [np.float64(0.6823265240999434), np.float64(0.026951109645674345), np.float64(0.7970066348997883), np.float64(0.06317706408527962)], [np.float64(0.5561090077172272), np.float64(0.470097732039784), np.float64(-0.0107902747656161), np.float64(0.43445471176432865)], [np.float64(0.8811503937006222), np.float64(-0.050052430131677726), np.float64(0.8803099653146406), np.float64(0.20302481197565173)]]]","[[0.7671432121054722, 0.10853924039797258, 0.9184466718989266, np.float64(-0.045986174646460265)]]","[np.float64(0.3227684567160369), np.float64(0.6185682593645354), np.float64(0.5551139648054007), np.float64(0.1871601879526747)]",0.39542715317088795
1,"(4,)",sigmoid,0.001,100,0.01303646393219178,"[[[np.float64(-0.12520333967667469), np.float64(0.39537442285226104), np.float64(0.8371929195455278), np.float64(-0.34167690860849154)], [np.float64(0.6443771902352984), np.float64(0.12592743814375254), np.float64(0.8109162563846893), np.float64(0.04359353006303793)], [np.float64(0.5191565185218845), np.float64(0.05379396984141885), np.float64(0.410552054885423), np.float64(0.06599158232740553)], [np.float64(0.373207879100888), np.float64(-0.08234599482860816), np.float64(0.7565016064374069), np.float64(-0.20420312373095384)]]]","[[0.8866729551793836, 0.26625437609032154, 0.8759669250204004, np.float64(-0.2531572848274204)]]","[np.float64(0.38393694427211594), np.float64(0.40973120683076775), np.float64(0.1364916207305719), np.float64(0.9781483326445909)]",0.03925848791136137
1,"(4,)",sigmoid,0.001,200,0.011453672283759916,"[[[np.float64(0.2974212871596011), np.float64(-0.009558691506017661), np.float64(0.26328557437224015), np.float64(-0.06916251857190593)], [np.float64(0.1927844929879535), np.float64(0.23164793120558366), np.float64(-0.45841100356971676), np.float64(0.17036909614577322)], [np.float64(0.5379551377972445), np.float64(0.03157076570106864), np.float64(0.04400360855235653), np.float64(-0.5221900465429405)], [np.float64(0.7984754466641106), np.float64(0.6949732656369166), np.float64(0.6651464016314785), np.float64(0.36807251886347075)]]]","[[0.2448955804123144, 0.38678671922541874, 0.08519629458845812, np.float64(-1.0630560495541899)]]","[np.float64(0.22011995278357382), np.float64(0.24460717612959176), np.float64(0.5902875049036627), np.float64(0.7400304354371376)]",0.2491986606993042
1,"(4,)",tanh,0.0001,100,0.005242410867125373,"[[[np.float64(0.07293543603849433), np.float64(0.7129295443251449), np.float64(0.2511618839546721), np.float64(0.3610769075755756)], [np.float64(0.6827345779207751), np.float64(0.6925887244641804), np.float64(0.025655696672932035), np.float64(0.15482075017198044)], [np.float64(0.14855619053731497), np.float64(0.4138865301875113), np.float64(-0.07860883550433863), np.float64(0.700377331402937)], [np.float64(0.7464997239571499), np.float64(0.9055067292950448), np.float64(0.004484225587563448), np.float64(0.16596870597172556)]]]","[[0.0667624456074658, 0.9226952949309286, 0.0711152468333277, np.float64(0.024362936472818984)]]","[np.float64(0.2744432232056345), np.float64(0.005212775175621683), np.float64(0.8440538637680233), np.float64(0.40042473823163477)]",0.2940285001221565
1,"(4,)",tanh,0.0001,200,0.01532030677729883,"[[[np.float64(-0.5675949267887578), np.float64(-0.16134899975505287), np.float64(0.517635862388925), np.float64(0.4000874138063779)], [np.float64(-0.3855196696921052), np.float64(-0.407050648949181), np.float64(0.5150484958350544), np.float64(0.43184037695638844)], [np.float64(-0.4632617729409297), np.float64(-0.2747979015956402), np.float64(0.6330258576231704), np.float64(0.05708086517161919)], [np.float64(0.2844840600244902), np.float64(0.43046161328462557), np.float64(0.6785994935527516), np.float64(0.650666980438869)]]]","[[0.41012448056887707, 0.02006973428395442, 0.4750108597161664, np.float64(-0.15180847461933183)]]","[np.float64(0.9104036211523135), np.float64(0.629348327696034), np.float64(0.5357786736275798), np.float64(0.4490931408785406)]",0.753123137130184
1,"(4,)",tanh,0.001,100,0.010935245396273085,"[[[np.float64(0.3080146734439922), np.float64(0.9573570111630456), np.float64(0.8776000187981932), np.float64(0.8853266890493025)], [np.float64(0.3513796154042678), np.float64(0.919944309951167), np.float64(0.6130375916049985), np.float64(0.4446969495325192)], [np.float64(0.6689930967049671), np.float64(0.8018876520561937), np.float64(0.7861344502372153), np.float64(0.7308505007181317)], [np.float64(0.15763822863796448), np.float64(0.5162845897968403), np.float64(0.31683489620236815), np.float64(0.44746493859551895)]]]","[[0.6123335377957396, 0.3272485607927611, 0.8684314377682948, np.float64(0.5949748050866673)]]","[np.float64(0.22692153349022612), np.float64(0.018396867879680503), np.float64(0.5118819798772135), np.float64(0.11618372210440854)]",0.12622423915477204
