hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(3,)",tanh,0.001,200,0.19705946911566352,"[[[np.float64(-0.23421621381052407), np.float64(-1.1208641342234824), np.float64(-0.07955795897963874)], [np.float64(0.25356568675478997), np.float64(-1.079321429006475), np.float64(-0.4071139449375782)], [np.float64(0.15003671586595885), np.float64(-0.710070397751577), np.float64(0.0038921097892105467)], [np.float64(0.2912165483908102), np.float64(-0.6322684710544574), np.float64(0.39006201102215315)]]]","[[0.8099603570252353, 0.9930974580700817, np.float64(-0.5898098595007967)]]","[np.float64(0.716267598920408), np.float64(0.7976680943153436), np.float64(0.4635033796523881)]",0.9892283960675836
1,"(4,)",relu,0.0001,100,0.33243650838288336,"[[[np.float64(-0.8057255478627546), np.float64(-0.06489312121200361), np.float64(-0.061985391865572455), np.float64(0.44773705038889844)], [np.float64(-0.28016867414499147), np.float64(0.07022672868943831), np.float64(-0.6289870457250615), np.float64(0.10241501268221918)], [np.float64(-0.35405307770021), np.float64(-0.3333271561658924), np.float64(-0.4171066076380362), np.float64(-0.30493219939207167)], [np.float64(-0.24623349602976863), np.float64(-0.25590950560267633), np.float64(-0.31916968031369414), np.float64(0.30881872488417816)]]]","[[0.9852801370492167, 0.31984057250591824, 0.8284169523914722, np.float64(-0.4139753938933496)]]","[np.float64(0.5457438160373267), np.float64(0.36925199509603734), np.float64(0.33773923754401985), np.float64(0.22868475468975202)]",0.558329536632844
1,"(4,)",relu,0.0001,200,0.2652551806789434,"[[[np.float64(-0.6442760055198103), np.float64(-0.1577787621903674), np.float64(-0.14126526752422885), np.float64(-0.4640301771196269)], [np.float64(-0.4325521627691361), np.float64(-0.6812218673261137), np.float64(-0.04095963735639731), np.float64(-0.4860619780209227)], [np.float64(-0.42035984542817967), np.float64(-0.39617115784288104), np.float64(-0.9241288888725444), np.float64(-0.20064907907352864)], [np.float64(-0.5913213493797701), np.float64(-0.10791135293728397), np.float64(-0.3569023451415229), np.float64(-0.11575539364007637)]]]","[[0.6694338726583583, 0.9652736634362465, 0.7012105179123564, np.float64(-1.4467234277794971)]]","[np.float64(0.858086093963468), np.float64(0.22377820965790846), np.float64(0.37214237602081013), np.float64(0.7809529695252224)]",0.5362685703520592
1,"(4,)",relu,0.001,100,0.059206571762213625,"[[[np.float64(0.5286963223240467), np.float64(0.568874282008563), np.float64(-2.1715191902538726), np.float64(-2.208286448313121)], [np.float64(0.211493570739738), np.float64(0.7279633068755597), np.float64(-1.3132956866364731), np.float64(-1.4958955333034574)], [np.float64(-0.007215171842128045), np.float64(0.28527982052548007), np.float64(-1.7625567265265565), np.float64(-1.6797763681969429)], [np.float64(0.16617349629594763), np.float64(0.8512716293367916), np.float64(-1.0390179678954603), np.float64(-1.9179863561393702)]]]","[[0.6415089181920033, 0.661448001656584, 0.38130196699520014, np.float64(-4.540699080035982)]]","[np.float64(0.08335387149480357), np.float64(0.05431994923375817), np.float64(0.5132712463534937), np.float64(0.5978873116624803)]",0.3888615877682617
1,"(4,)",relu,0.001,200,0.07975483306320635,"[[[np.float64(-1.7697873105292197), np.float64(-1.679826123432467), np.float64(-1.3145824504134294), np.float64(0.11045889456891823)], [np.float64(-1.2681350175932322), np.float64(-1.4438540863092602), np.float64(-0.8929862689899023), np.float64(-0.3439674822169468)], [np.float64(-1.3633220808547057), np.float64(-1.1730300179789122), np.float64(-0.49163088106627123), np.float64(-0.06683232501784668)], [np.float64(-1.4192454048802239), np.float64(-1.5450994602296828), np.float64(-1.0495653354466992), np.float64(-0.31347034676642854)]]]","[[0.06858362906860849, 0.3099226262779655, 0.516264707877097, np.float64(-0.1430846336212222)]]","[np.float64(0.49455765171372035), np.float64(0.4432596666065543), np.float64(0.35222776783548926), np.float64(0.1088749970798193)]",0.42127999168052843
1,"(4,)",sigmoid,0.0001,100,0.2061708133924829,"[[[np.float64(0.5976043244927266), np.float64(-0.25447580913751433), np.float64(0.6638044379528715), np.float64(0.07747694720936907)], [np.float64(0.11316101041611802), np.float64(-0.2603217516856514), np.float64(0.31569892267346344), np.float64(0.8884807578317818)], [np.float64(0.7944282364584748), np.float64(0.5456018610810003), np.float64(0.36505548525602205), np.float64(0.9285587430893163)], [np.float64(0.47380935610391345), np.float64(0.5328901742548592), np.float64(0.6048765726214163), np.float64(0.8069555391920628)]]]","[[0.4999446994224521, 0.14293574445336177, 0.6217272480604744, np.float64(0.8337811836327029)]]","[np.float64(0.1526678631359122), np.float64(0.8339485517089861), np.float64(0.8619219254933869), np.float64(0.14287371415885536)]",0.3677228973899597
1,"(4,)",sigmoid,0.0001,200,0.22211439386646195,"[[[np.float64(0.380871400668174), np.float64(0.35816066966229726), np.float64(-0.344680753676692), np.float64(0.043789625453500465)], [np.float64(0.5635049851548796), np.float64(0.07810863003529138), np.float64(-0.14476866090924628), np.float64(0.19868657181772736)], [np.float64(0.1948000841250297), np.float64(0.2056234510769551), np.float64(-0.39016660664986713), np.float64(0.3109212882178582)], [np.float64(0.48908737001079505), np.float64(-0.13165346530170097), np.float64(-0.23254292581843045), np.float64(0.4667871072774178)]]]","[[0.33113831200711596, 0.3391801288588753, 0.6419933734146285, np.float64(-0.03924517240780155)]]","[np.float64(0.42337027853821163), np.float64(0.669100137762342), np.float64(0.6353431738684591), np.float64(0.5220327928830724)]",0.5533116633146402
1,"(4,)",sigmoid,0.001,100,0.17655987353576308,"[[[np.float64(-1.49833526429615), np.float64(-1.8143674336200992), np.float64(-2.008179462437813), np.float64(-0.854119637108066)], [np.float64(-1.277975781074208), np.float64(-1.246057828411921), np.float64(-1.313140515921971), np.float64(-0.6648952541568575)], [np.float64(-1.027409116046555), np.float64(-0.9779280763261016), np.float64(-2.075837386296769), np.float64(-0.2984569367932231)], [np.float64(-0.795404454951571), np.float64(-1.373022534286816), np.float64(-1.3118555417767972), np.float64(-0.5170115902597684)]]]","[[0.8016155977666795, 0.7074400395564743, 0.0013557015675290662, np.float64(-1.48985798090454)]]","[np.float64(0.49942077607579316), np.float64(0.5498929070813212), np.float64(0.6822985107886551), np.float64(0.37613126241854955)]",0.9826735100486295
1,"(4,)",sigmoid,0.001,200,0.12109440207971615,"[[[np.float64(-0.3054580132185342), np.float64(-1.5753212584540857), np.float64(0.5086501881247261), np.float64(-0.6913219163435381)], [np.float64(-0.1158728237036057), np.float64(-0.8751479276818458), np.float64(0.14316549367197548), np.float64(-0.11013543795285706)], [np.float64(-0.17023994945894458), np.float64(-0.6406169555585745), np.float64(0.6346672381733883), np.float64(-0.9757551391962935)], [np.float64(-0.01857263871731968), np.float64(-0.9839160723049295), np.float64(0.5811805673738446), np.float64(-0.06320187747978949)]]]","[[0.16915116520582385, 0.4528835394208164, 0.8316848350899891, np.float64(-2.164327259857939)]]","[np.float64(0.11118128371007596), np.float64(0.4452734292069553), np.float64(0.048093194287198986), np.float64(0.303009643268494)]",0.6206115806960797
1,"(4,)",tanh,0.0001,100,0.1934870635261396,"[[[np.float64(-0.11849123375950983), np.float64(-0.3410350970326246), np.float64(0.16414210086727873), np.float64(-0.22054949912039792)], [np.float64(-0.40172309086291585), np.float64(-0.6137643211283972), np.float64(0.47075899646390856), np.float64(0.22180359612321535)], [np.float64(-0.14624546109911887), np.float64(0.1433761083675275), np.float64(0.24088621189686896), np.float64(0.11953915149281308)], [np.float64(-0.04849769396874362), np.float64(-0.45642995094528577), np.float64(0.5508612262149278), np.float64(-0.01354495483235313)]]]","[[0.7119508682176469, 0.14303442880088113, 0.43074286313067356, np.float64(-0.6645275337307058)]]","[np.float64(0.991775789077509), np.float64(0.9965755357279018), np.float64(0.8599854305585153), np.float64(0.5484363085878191)]",0.5329332923173749
