hidden_layer,hidden_neuron,lr,epoch,mse,bobot,bias,bobot_output,bias_output
2,"(1, 3)",0.005,200,0.03498148178907125,"[[[np.float64(-22.680982592478138)], [np.float64(-22.079677001226685)], [np.float64(-22.326335828582394)], [np.float64(-20.538349178015373)]], [[np.float64(-40.93080902107767), np.float64(-26.311683546011114), np.float64(-52.53884993561296)]]]","[[np.float64(-44.37222384946101)], [0.4315928626304436, 0.22265689272731326, np.float64(-40.39358478030321)]]","[np.float64(0.7712930193244648), np.float64(0.48890297657889376), np.float64(0.8955922768495683)]",0.16375547050702016
2,"(1, 3)",0.005,500,0.09317259070049437,"[[[np.float64(-6.686928552940023)], [np.float64(-7.617815335301817)], [np.float64(-7.417877110090053)], [np.float64(-6.517479522009129)]], [[np.float64(-36.93966200408631), np.float64(-14.040683975708815), np.float64(-24.631063649956157)]]]","[[np.float64(-14.198048513809935)], [0.1260861200985659, 0.7242294516958802, np.float64(-13.257584314382571)]]","[np.float64(0.7189662491541576), np.float64(0.31765691265911505), np.float64(0.4766549555364057)]",0.46857992190579395
2,"(1, 3)",0.01,200,0.16827889808132146,"[[[np.float64(-58.95707826391276)], [np.float64(-59.12461017580532)], [np.float64(-57.40960192786276)], [np.float64(-53.05534058321067)]], [[np.float64(-128.42285981203844), np.float64(-257.3992610153903), np.float64(-117.1200774473431)]]]","[[np.float64(-115.58112861857363)], [0.3195139850823082, 0.29884134473718493, np.float64(-49.91987331504005)]]","[np.float64(0.3396453696824355), np.float64(0.7908454755554662), np.float64(0.3604525186581975)]",0.5277584864720927
2,"(1, 3)",0.01,500,0.15902746892322356,"[[[np.float64(-47.081529889881374)], [np.float64(-47.32182444246333)], [np.float64(-46.44981497201048)], [np.float64(-42.92331604654231)]], [[np.float64(-1.2221032740740587), np.float64(-101.2058238229925), np.float64(-12.048127386493036)]]]","[[np.float64(-92.65480090093247)], [0.31151639960093214, 0.9247862905769023, np.float64(-10.973544502184966)]]","[np.float64(-0.10725524403363706), np.float64(0.5555717912400139), np.float64(0.08945096045169346)]",0.37968270999617776
2,"(1, 4)",0.005,200,0.17426982105537434,"[[[np.float64(-107.3921546089971)], [np.float64(-106.74096820261897)], [np.float64(-105.16973143065103)], [np.float64(-97.47689300979074)]], [[np.float64(-353.1351314966296), np.float64(-285.44016420319605), np.float64(-94.97897736186131), np.float64(-114.92249820800434)]]]","[[np.float64(-210.5559374352588)], [0.8508696939787084, 0.623693138607375, 0.9089290756797919, np.float64(-38.07747176895298)]]","[np.float64(0.661313124098785), np.float64(0.5259474822959582), np.float64(0.06468018848914568), np.float64(0.24542086352492762)]",-0.06904244176875886
2,"(1, 4)",0.005,500,0.09755638796341064,"[[[np.float64(-9.18611709511926)], [np.float64(-9.421334906592804)], [np.float64(-9.29566256129376)], [np.float64(-8.087083283660737)]], [[np.float64(-55.8746791879165), np.float64(-10.883551066931798), np.float64(-25.898317321573256), np.float64(-17.34052784844722)]]]","[[np.float64(-18.405193696024536)], [0.42056844707197416, 0.05182397350637069, 0.7688938996557243, np.float64(-6.756815492318153)]]","[np.float64(0.7122689440825278), np.float64(0.136116835243221), np.float64(0.3575849556870189), np.float64(0.20933454066913482)]",0.22203273823503422
2,"(1, 4)",0.01,200,0.18770922439742524,"[[[np.float64(-42.77116794587377)], [np.float64(-41.95173663464026)], [np.float64(-41.489838040146495)], [np.float64(-37.88931404599944)]], [[np.float64(-92.43379106443389), np.float64(-260.07111495089526), np.float64(-161.34749303245306), np.float64(-115.71738457095685)]]]","[[np.float64(-82.93571372052062)], [0.21595793257073148, 0.38332565506210114, 0.23328009024956564, np.float64(-50.03213743092882)]]","[np.float64(0.24128193191542627), np.float64(0.776858165588766), np.float64(0.47015893916495033), np.float64(0.3777278047383233)]",0.43808963431088976
2,"(1, 4)",0.01,500,0.03136478112822305,"[[[np.float64(-51.12681385726926)], [np.float64(-51.47202883193686)], [np.float64(-49.739453636949264)], [np.float64(-46.77043538694018)]], [[np.float64(-88.15714012243082), np.float64(-80.27506088178065), np.float64(-253.53764469396285), np.float64(-10.291817325775982)]]]","[[np.float64(-101.04018342445616)], [0.23270076676338136, 0.3977178428642636, 0.15001634789810003, np.float64(-3.3371564576502166)]]","[np.float64(0.32395482829603667), np.float64(0.3621450166927364), np.float64(0.8940179386474164), np.float64(-0.009143567935146583)]",0.23049034844221816
2,"(1, 5)",0.005,200,0.20252104559800707,"[[[np.float64(-172.62041764878026)], [np.float64(-171.9707577101027)], [np.float64(-168.4275656983161)], [np.float64(-156.7545375666992)]], [[np.float64(-448.9511080068569), np.float64(-71.70007207391114), np.float64(-345.112659451779), np.float64(-534.0536418589624), np.float64(-408.5654387892267)]]]","[[np.float64(-337.92177726987364)], [0.6647109173300536, 0.8310465624435729, 0.02351138268329056, 0.29631852443075635, np.float64(-134.9773105424859)]]","[np.float64(0.6358872958559999), np.float64(-0.11215190755881327), np.float64(0.5433117080001127), np.float64(0.8928643972547518), np.float64(0.6467789612351023)]",0.30898735704489755
2,"(1, 5)",0.005,500,0.1598916326414437,"[[[np.float64(-20.46778870747218)], [np.float64(-20.062039741775397)], [np.float64(-19.247052070342907)], [np.float64(-18.357159265874117)]], [[np.float64(-19.45601317687783), np.float64(-70.48761265983931), np.float64(-111.00646720001697), np.float64(-38.38651680811546), np.float64(-33.28483211562753)]]]","[[np.float64(-39.27068457886164)], [0.04137196492496931, 0.2565280441360054, 0.9708727377766911, 0.3125431130358388, np.float64(-13.263404739303626)]]","[np.float64(0.11737605156864003), np.float64(0.4603539551502604), np.float64(0.6509616281534073), np.float64(0.22457040635356143), np.float64(0.220331116782455)]",0.03611163847649693
